排名	ID	暱稱	等級	頭像	角色（稱號）	樓層	個人狀態	顏色
47	5edcbfb4ceb1232c70397915	田中庄司	70	hina	天野陽菜（天氣之子）	199	．20210924．	black
48	5eddb020e9ef5d32c8b8116a	腦袋在星爆	70	starburst.s	桐人（雙刀劍士）	199	快還要更快，摸豆害鴨哭	black
49	5edcb9f6e509b22bac089d51	DemonCatMan	70	uwKirito2.s	Underworld桐人（黑衣劍士）	199	艾恩葛朗特元年	black
50	5edcf9ad8f7b9e318a505611	Ge1zRev1ve	70	godRecon.s	神（神）	199	新的開始 丨LAHEE丨	red
51	5edcd84e09a13b2d609302d4	接頭霸王凱瑠	70	godRecon.s	神（神）	94	太久沒爬塔 BOSS戰報不見了 友切都來 不要認真	black
52	5edcb0ccff4f982ba007ef14	柊鏡	70	yuuki.s	有紀（絕劍）	94	退坑  dc@王瑞祥  幹刷錯角色 原來我當初申請的不是牙紀	black
53	5edcaf5d23815f2b14adb858	尿尿人終型之幹你娘機掰	70	honda.strongest	本多忠勝（戰國最強）	199	看到你了，在你後面	black
54	5edcaf4f23815f2b14adb84e	幹又死了	70	honda.strongest	本多忠勝（戰國最強）	199	完走199層 可以head eye了	black
55	5edcb0cee509b22bac088162	嚕嚕嚕嚕嚕嚕	70	originalKirito.s	起源桐人（初始玩家）	199	過來吧里香，全部喔	black
56	5edde9fee9ef5d32c8b8bb5c	此生無悔戀真白	70	alice	愛麗絲（整合騎士）	125	否a我愛你號4｜真白唯一婆｜ねぇ 君は何色になりたい？｜	black
57	5edcb9b8e509b22bac089c64	栗悟飯とカメハメ波	70	godRecon.s	神（神）	137	玩遊戲還要開腳本刷，可憐哪	black
58	5ee091d8f8696e2f50bf6427	mkmkOUO	70	godRecon.s	神（神）	137	2022年了還有人沒玩石之心資料片，太可惜了吧	black
59	5edcb7d8ff4f982ba0080327	醉楓	70	eugeo.s	尤吉歐（上級修劍士）	199	摸斗17號｜ㄐㄐ｜隨便摸｜好累｜五千勝再來成就是多少勝啊	black
60	5edd66e147bd0432d499c662	怠惰樹懶	70	kibaou.s	牙王（艾恩葛朗特解放軍副團長）	199	屁眼 	black
61	5edcb684e509b22bac0890b6	雲鯉丸	70	theYuuki.s	有紀（絕劍）	199	華風夏韻，洛水天依（ DC洛水天依	black
62	5f03fd203cc2742942c05358	一視同仁野格炸彈我是智障	70	aloSilica.s	ALO西莉卡（貓妖馴獸師）	199	4138｜請茅場先生繼續更新	black
63	5edce98b89d6173087111033	桂小太郎	70	hina	天野陽菜（天氣之子）	41	不驕傲	black
64	5edcafd923815f2b14adb8a1	可蘿仔	70	aizen	藍染惣右介（五番隊隊長）	199		black
65	5ee603fbbebdd0397784d418	哈哈哈哈	70	xmasSilica.s	聖誕西莉卡（聖誕馴獸師）	37		black
66	5ede2c6ebf64e5136f48d11f	窩想活下去	70	stone	石頭（石頭）	90	窩四小號，解保集成就	black
67	5edd0450ee86f0319662f4f8	三招沒死就逃	70	blueRecon.s	色違雷根（風精靈）	41	智力點滿  我是聰明逼	black
68	5edd7342e9ef5d32c8b79c2f	絶滅ときの導光	70	honda.strongest	本多忠勝（戰國最強）	199	ㄐㄐ	black
69	5edcc037ceb1232c70397add	屍4	70	lisbeth	莉茲貝特（鍛造師）	199	不在	black
70	5edcbca8ff4f982ba008125e	ShiinaKaguya	70	aloAsuna.s	ALO亞絲娜（水精靈）	199	否a我愛你號4｜真白唯一婆｜ねぇ 君は何色になりたい？｜	black
71	5edcb1d6e509b22bac08837a	FTS152	70	dagger	帶毒的匕首（無主短刀）	199	弒神短刀	red
72	5edcbb0de509b22bac08a13a	保登心愛	70	starburst.s	桐人（雙刀劍士）	199	我的隊友突然有靈壓了 雙刀桐	black
73	5edcb138ff4f982ba007efde	販冰兵	70	godRecon.s	神（神）	199	I wanna always stay with you	black
74	5edcb10fe509b22bac0881d9	Feather	70	honda.strongest	本多忠勝（戰國最強）	199	幹你的公戳戳	black
75	6069bd7cd8dc682a2f76aee9	哺基拉哺哺	70	pina.s	畢娜（羽翼龍）	145	請友切	black
76	5ef9b3b4643a25723c953484	被超渡用分身	70	lisbeth	莉茲貝特（鍛造師）	35		black
77	5edcbfd302518b2c7b777d20	噬枝可利膚	70	honda.strongest	本多忠勝（戰國最強）	199	摸斗6號｜52萬經驗線	black
78	5f74254bc6eb4d13ef1ec487	K3FeC6N6	70	coolKirito	酷桐人（Stay cool）	199	休閒玩家 隨便切	black
79	5edcdd4f5478d62d6cf82f4f	把肉捧給你吃	70	xmasKirito	聖誕桐人（聖誕快樂）	199	幸運菓！！！	black
80	5edcb27fe509b22bac088508	Safir	70	honda.strongest	本多忠勝（戰國最強）	199	過氣遊戲偷改版了	black
81	5f1a875b7e7e956b7e9c9e57	被渡渡用分身	70	lisbeth	莉茲貝特（鍛造師）	35		black
82	5f1a7e603984dc6b726aaf87	洗場數用分身	70	lisbeth	莉茲貝特（鍛造師）	40		black
83	5edd0bb48f7b9e318a5098f5	史內趴	70	eugeo.s	尤吉歐（上級修劍士）	49	手動刷U桐中 1819勝12敗	black
84	5efc42fe41f896682c43055e	歐拉歐拉歐拉歐拉！歐拉！	70	xmasKlein	聖誕克萊因（聖誕武士）	40	友切認真隨便，別連切拜託，想爬塔	black
85	5edccb7f09a13b2d6092cfc7	遍地開花	70	aloSinon.s	ALO詩乃（貓妖）	199	搖啊搖晃啊晃 我的心被風吹得搖搖欲墜	black
86	5f02fd228856dc294e143d0a	廁所裡的8腳馬	70	godRecon.s	神（神）	199	兩把西瓜刀	black
87	5ef966ba93b3733c82cbd4b0	解成就用分身	70	lisbeth	莉茲貝特（鍛造師）	40		black
88	5edcb383ff4f982ba007f524	紫弦	70	honda.strongest	本多忠勝（戰國最強）	199	謹此紀念	black
89	5edcb5ceff4f982ba007fc02	高瀬谷	70	aloKirito.s	ALO桐人（守衛精靈）	65	這遊戲沒人玩了	black
90	5edce80b7291892f4e5c2f51	油膩肥宅超進化	70	reiner.s	萊納·布朗（104期訓練兵團成員）	106	皇国の燈を享け さあ立ち上がれ 愛す者達を 守る翼よ	black
91	5edcee6f7ca001307b464d72	Panbie	70	xmasLisbeth	聖誕莉茲貝特（聖誕鍛造師）	199		black
92	5edcb700e509b22bac089264	鐵人	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	37	DC鐵人 萬勝中 請幫窩加油 看到我閒置就叫我繼續刷勝場	black
93	610951afd8dc682a2fb90c8c	大茶茶	70	honda.strongest	本多忠勝（戰國最強）	40		black
94	5edd0f1c8f7b9e318a50a520	磚頭	70	kobatz	柯巴茲（艾恩葛朗特解放軍中校）	199	這個人很懶，什麼都沒有留下	black
95	5edcb49dff4f982ba007f84b	雪羽	70	honda.strongest	本多忠勝（戰國最強）	199	快樂雪羽兒｜每天快樂耍廢中	black
96	5edcb291e509b22bac088532	無所求	70	yuuki.s	有紀（絕劍）	199	休閒模式邁向1W 目標是貼貼	black
97	5ef03b3021cb304b3cbc55c2	上吧皮卡秋	70	uwKirito2.s	Underworld桐人（黑衣劍士）	199	剛看完小圓劇場版和TV 感覺有點看不懂 有人要解說嗎	black
98	5edcaf737ac4e62b084fec6a	背骨貓	70	sinon.s	詩乃（冰之狙擊手）	199	我總在每一個黑夜想倪，嘲笑自己傻的可以	black
99	5edcfd6aee86f0319662da36	我整個無言了	70	dagger	帶毒的匕首（無主短刀）	199	幹我只打得贏神	black
100	5f76e7c00ed95f13e37e1603	CH3CH2COOH	70	honda.strongest	本多忠勝（戰國最強）	199	隨便切	black
101	5ede3e4148cfb2159754542d	Asmold	70	tenThousand	一萬（一萬）	199	你要認真人家，就不要求別人友切	black
102	5edce6481345752f5a6a0c39	新偷米的七秒冒險	70	recon.s	雷根（風精靈）	41	歡迎認真丨DC@Chye井3635	black
103	5edcafdf7ac4e62b084fecbd	纞音月貓	70	sinon.s	詩乃（冰之狙擊手）	199	dc@莉莉絲9638	black
104	5f51b7e6a3b7e52d8cbc19bb	免洗二號機	70	lisbeth	莉茲貝特（鍛造師）	28		black
105	5f51b38203a17b2d98dbb905	免洗一號姬	70	lisbeth	莉茲貝特（鍛造師）	36		black
106	5edcdb9c5478d62d6cf82858	星爆永不停滯	70	recon.s	雷根（風精靈）	28	友好出人命 救命喔	black
107	5f6957a492211808387fb095	瀟湘夜雨	70	fish	努西（湖泊之王）	141	爬塔丨轉生點地獄丨	black
108	5edcb4b6ff4f982ba007f894	嘟嘟嚕	70	honda.strongest	本多忠勝（戰國最強）	199	220941 340111 331993 	black
109	5edcafc47ac4e62b084feca7	星爆先生	70	starburst.s	桐人（雙刀劍士）	149	爬塔 友切認真 DC@灰色庭園	black
110	61c76f7acd5e087f62e12336	eric0728	70	xmasSilica.s	聖誕西莉卡（聖誕馴獸師）	35	友切感謝	black
111	5edcba39e509b22bac089e53	FAL	70	starburst.s	桐人（雙刀劍士）	199	人可以被渡 雙刀一定要拔  DC@綠茶	black
112	5ee31b420caeb15f33924f73	KN神	70	aizen	藍染惣右介（五番隊隊長）	45	友切就好 和隊友爬塔中	black
113	60cc8f5ad8dc682a2fa0cd19	好大	70	lisbeth	莉茲貝特（鍛造師）	60	友切給你們練等 70就別打了	black
114	5eeda85244a72546c68d3907	釣魚的艾基爾	70	xmasLisbeth	聖誕莉茲貝特（聖誕鍛造師）	49	廢棄中	black
115	5edcb838ff4f982ba008048a	伊野井	70	lisbeth	莉茲貝特（鍛造師）	199	20220202 199達成	black
116	5edcd6ee5478d62d6cf81542	Reaper15248	70	hina	天野陽菜（天氣之子）	89	過氣遊戲	black
117	5f520fad03a17b2d98dbf92b	免洗三號機	70	lisbeth	莉茲貝特（鍛造師）	25		black
118	5edcd5fb5478d62d6cf8116f	Cynthia	70	asuna.s	亞絲娜（攻略之鬼）	37	友切是個好東西，希望大家都有	black
119	5ede4ca7315f05158bb33c18	幹嘛RRRR	70	reconBack.s	一個強大的背影（不具名風精靈）	96	你是我的彈藥包嗎	black
120	5edcb516e509b22bac088c08	Yuuki	70	lisbeth	莉茲貝特（鍛造師）	199	戲法耐久包，友情切磋，保護你我 DC氣氣氣氣氣	black
121	5eeced1962645404ce9a52fb	なるみ	70	honda.strongest	本多忠勝（戰國最強）	199		black
122	5f00648aa9d4d023f8d8f055	不是不爆時候未到	70	xmasKlein	聖誕克萊因（聖誕武士）	41	アイドルVTuberの星街すいせいです！	black
123	5ede690a02821317e6f7bf2e	我這麼低調不會被殺吧	70	sinon.s	詩乃（冰之狙擊手）	15	G桐到手了順便拿個A乃｜只切1等登出仔｜很怕死別摸我感謝	black
124	5edcba83ff4f982ba0080cd4	璃	70	aloSinon.s	ALO詩乃（貓妖）	99	所求為何；何處求之；所向何方？丨太陽的護身符	black
125	6089bdcad8dc682a2f85658d	河合あすな	70	honda.strongest	本多忠勝（戰國最強）	199		black
126	5eff1f3eb2798e542f8ace0c	霸氣O龍O屁屁	70	deadRecon	亡者雷根（已故風精靈）	89	華僑高中我來了	black
127	5edcea9c7ca001307b463ded	Henry3312	70	honda.strongest	本多忠勝（戰國最強）	97	找隊友	black
128	6196f0dacd5e087f62cb148c	Sallen	70	xmasSinon.s	聖誕詩乃（聖誕狙擊手）	25	暱稱為七殺的，請不要再到處決一了	black
129	5edcb6ebe509b22bac089219	鹿乃	70	recon.s	雷根（風精靈）	37	推 鹿乃／kano／花寄女子寮，WTF	grey
130	5ee0a6714e36502f5c50c2e0	沫莉莉子	70	honda.strongest	本多忠勝（戰國最強）	199	打完收工	black
131	5edd4d4547bd0432d499b87a	邁入中年禿頭危機	70	starburstFace	星爆臉（我要星爆 我要星爆）	199	2022還有人玩嗎	black
132	5f2aa64fdd548f638eb105fc	伊子	70	machamp	星爆怪力（怪力寶可夢）	40	原來我在這遊戲的職業是礦工阿I歡迎友切	black
133	5ee513e4bd7c9253ab4e040e	桐谷和人C8763	70	hina	天野陽菜（天氣之子）	25	友切就好	black
134	5edcc224e7d7082cdf65b229	路人養成計劃	70	hina	天野陽菜（天氣之子）	37	自分のために願って！     陽菜！	black
135	5edcc07902518b2c7b777f46	鯊鍋魚頭	70	honda.strongest	本多忠勝（戰國最強）	199	Azulim回來啦  登頂成功	black
136	5edf5391f038151e5c3b11cd	棉木蜜雪兒	70	oberon	奧伯龍（精靈王）	199	艾爾登法環中	black
137	5edcd4855478d62d6cf80b6a	（whale）	70	lisbeth	莉茲貝特（鍛造師）	13	東南枝計劃：請單擊每個包含［友好切磋］跟［認真對決］的圖像	black
138	5edd0b62ee86f03196630eff	感恩團長讚嘆團長	70	xmasSilica.s	聖誕西莉卡（聖誕馴獸師）	148	公用決一包	black
139	5edce7337291892f4e5c2bd9	無銘	70	hina	天野陽菜（天氣之子）	199	X咖哩棒！！   	black
140	5edcb0f5ff4f982ba007ef67	種子	70	starburst.s	桐人（雙刀劍士）	199	我只剩首通199可以拿來吹噓一下了	black
141	5f6f54a754073b0d67c18742	畜鋁魔製皂姬	70	honda.strongest	本多忠勝（戰國最強）	199	爬樓的新手	black
142	5ee37b324bf44b6e9db39715	耶魯	70	machamp	星爆怪力（怪力寶可夢）	28	友切感謝	black
143	5edcd53109a13b2d6092f5fd	stephenchan3	70	xmasKirito	聖誕桐人（聖誕快樂）	45	I wanna always stay with you	black
144	5edcba65e509b22bac089f01	夕洛	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	199	休閒	black
145	618e8227cd5e087f62c6401f	Helium	70	uwKirito2.s	Underworld桐人（黑衣劍士）	1	在第一層農點OwO	black
146	5ee5d8130f6a362e7df38dd5	切磋狂魔	70	xmasKirito	聖誕桐人（聖誕快樂）	25	睡覺中	black
147	5f521894a3b7e52d8cbc5d31	免洗四號機	70	lisbeth	莉茲貝特（鍛造師）	25		black
148	5edeecfd9e0a121d4e4fc082	正義的牙王	70	uwKirito2.s	Underworld桐人（黑衣劍士）	49	stay cool	black
149	5eeeb783e025463067c43470	惡魔貓女	70	honda.strongest	本多忠勝（戰國最強）	199	你今晚的惡夢	black
150	5ee049dd2316a3247fc2f93f	多汁	70	xmasSilica.s	聖誕西莉卡（聖誕馴獸師）	75	多汁的畢娜	black
151	5edde97847bd0432d49aeda8	NUK3	70	eugene.s	尤金（猛炎之將）	27	友切	black
152	5ef7fcf47e7bf709a7fa751f	TP	70	honda.strongest	本多忠勝（戰國最強）	19	I wanna always stay with you	black
153	5edcf74b89d6173087114894	梅普露O	70	machamp	星爆怪力（怪力寶可夢）	28	友切就好	black
154	5f0097a9a8175523ecb265ac	popopoppoopp	70	sinon.s	詩乃（冰之狙擊手）	25	A乃我來了 請友切摸摸 2000場有點遠 差660	black
155	6048a5f4d8dc682a2f6600b5	locario1014	70	yuuki.s	有紀（絕劍）	65	經驗包 打我我不會叫爸爸	black
156	60e8a923d8dc682a2fabdb56	轉守為攻	70	uwKirito2.s	Underworld桐人（黑衣劍士）	41	友切出人命啦	black
157	5efdaeda58e3671fb763fbac	皮卡秋超度用	70	uwKirito2.s	Underworld桐人（黑衣劍士）	148	經驗包	black
158	5edcb70bff4f982ba0080024	wowcow	70	sinon.s	詩乃（冰之狙擊手）	18	刷A奶 到處友善射人	black
159	5ee0906c4e36502f5c506654	我頭很大	70	hina	天野陽菜（天氣之子）	28	別輕易嘗試 陽菜超難汁 我是小雞雞	black
160	5edcb98fff4f982ba008094f	taco2468	70	blueRecon.s	色違雷根（風精靈）	79	探底帳號，勝敗場都可刷	black
161	5edcaea87ac4e62b084fec1e	某人2	70	aloSilica.s	ALO西莉卡（貓妖馴獸師）	37	友切，拿到czk了	black
162	5edef0877611831da81a6e57	訂閱里森辣	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	74	必殺認真系列 認真爬塔別打我	black
163	5ef35a68143c893366d9ec83	MMORPG不合理的	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	28	大螃蟹要組隊請洽詢	black
164	5eeedae5e025463067c48464	高階古戰場警察	70	honda.strongest	本多忠勝（戰國最強）	199	謝謝磚頭	black
165	5edcb199ff4f982ba007f097	IchikaOuO	70	godRecon.s	神（神）	199	被智障決一死掉了 卡到下去	black
166	5edcc123ceb1232c70397d9d	大神士郎	70	deadRecon	亡者雷根（已故風精靈）	199	死惹	orange
167	5ee2efce2ce79a5f275a9655	台味公車	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	37	I am horny	black
168	5ee5c0f7b182872e894dfda8	辣個Chiputo	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	28	好友切磋	black
169	5edd06c18f7b9e318a508777	hemodialysis	70	hina	天野陽菜（天氣之子）	41	友切就好	black
170	5edcb9c2e509b22bac089c8a	不死煙	70	leafa2.s	莉法（風精靈）	71	勸那個艾恩葛朗特解放軍在金髮大奶面前給我放尊重一點！	grey
171	5ee9c3c25e8cde45021ed757	蜂蜜薄荷焦糖沙冰	70	silica.s	西莉卡（馴獸師）	27	刷到詩乃了OHO 友切感謝OHO	black
172	5f0f78daca575f1d508ded40	月輪的包	70	recon.s	雷根（風精靈）	65	aaa	black
173	5edcb4c6ff4f982ba007f8c5	追風	70	aizen2	藍染惣右介（虛圈統治者）	40	紅名變身 希望能活著幹掉老鷹	grey
174	61da84d75d8eb3992a028bb7	皮卡星爆	70	connie	鎖鏈的康妮（第三層頭目）	14	友切お願い	black
175	5edcb0ece509b22bac088198	綠茶	70	godRecon.s	神（神）	199	人可以被渡 光劍一定要拔 @FAL	red
176	5edcbfabceb1232c703978ed	布露艾斯懷特多拉貢	70	kirito3	桐人（就憑你這菜B8 笑死）	45	全修行玩家 只為爬塔 找組隊請在DC樓層@俗投7398	black
177	5eef9217e025463067c6d8e7	蘇聯小雞雞	70	geodude	星爆小拳石（岩石寶可夢）	13		black
178	5edcb2cce509b22bac0885bd	壯哉我大克拉	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	35	等隊友等千夜我待隊友如初戀	black
179	5ee1e2f66dbf4655d6c5d819	工口翔子	70	dagger	帶毒的匕首（無主短刀）	199	10618 極致石數值低又不能用記憶碎片是有多爛= =	black
180	5edf499af038151e5c3ae849	友切死亡率高達99點9	70	honda.strongest	本多忠勝（戰國最強）	120	友好 只想爬	black
181	5edcc74ce7d7082cdf65c48f	七海	70	recon.s	雷根（風精靈）	41	PEKOPEKOPEKOPEKO	black
182	5edcb77eff4f982ba00801d5	C8	70	sinon.s	詩乃（冰之狙擊手）	40	友切就好 拿角色中 幹他媽詩乃都汁不到g桐==	black
183	5edcbde9ff4f982ba0081663	kingkasmas	70	hatsumi	初見泉（浮雲）	71	哭阿終於過70了	black
184	5edcea837ca001307b463d6f	德意志之魂	70	aloKirito.s	ALO桐人（守衛精靈）	27	只限友好切磋 感謝 中華民國萬歲	black
185	5f09f6fe4047170c2340d8f1	破天	70	silicon.s	西莉根（馴獸師）	45	友切 謝謝	black
186	5edcb235ff4f982ba007f1d3	囃子唄	70	godRecon.s	神（神）	199	我妹妹很多	black
187	5edcb181ff4f982ba007f06c	詩乃菲莉亞我婆	70	godRecon.s	神（神）	137		black
188	5edf0938cd85501e50c90004	大爆炸拳石	70	starburst.s	桐人（雙刀劍士）	150	地方的灰色庭園小號  爬塔 友切認真 DC@灰色庭園	black
189	5edcf4fa89d6173087113ec5	FzFreeze	70	honda.strongest	本多忠勝（戰國最強）	199	Rz先生沒有輸！ Rz先生才是勝者！！	black
190	5edcb335e509b22bac0886bd	名取さな	70	hatsumi	初見泉（浮雲）	40	おはようございなす 歡迎聊天 有組	black
191	5edd8f5247bd0432d499fa55	SkyWalk	70	honda.strongest	本多忠勝（戰國最強）	199	Rz先生沒有輸！ Rz先生才是勝者！！	black
192	5efb0777aafa03283cbfc57a	順手牽狗	70	aloKirito.s	ALO桐人（守衛精靈）	25	11求隊友	black
193	5edd0cb6ee86f031966313b7	蛋糕高	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	28	友切出事啦對不起12385901	black
194	5f91847652aeed52b53b5cf8	青嵐のあとで	70	originalKirito.s	起源桐人（初始玩家）	7	友切	black
195	5ede5ce53cea781649b7407a	水雲云	70	sinon.s	詩乃（冰之狙擊手）	37	友切，解成就中	black
196	5f53befc3d5c692ef3e9d991	ロードローラーだ！！！	70	xmasKirito	聖誕桐人（聖誕快樂）	28	新年快樂啦！！！	black
197	5edcafbb23815f2b14adb885	闡釋者	70	honda.strongest	本多忠勝（戰國最強）	199	09｜ㄈㄈㄈㄈㄈㄈㄈ｜	black
198	5edcc00002518b2c7b777dad	悠悠yue	70	honda.strongest	本多忠勝（戰國最強）	199	09｜逼波 ｜冷死｜幹你的破塔靈壓回歸	black
199	5ef146ec670dbf059dbe04e8	威力豹	70	ggoKirito.s	GGO桐人（第3屆BoB冠軍）	73	前	black
200	5eeeb531c1798b305b896af0	蘭亭序	70	aloKirito.s	ALO桐人（守衛精靈）	66	 友切	black
201	5edcafa97ac4e62b084fec8d	千葉の堕天聖任任	70	honda.strongest	本多忠勝（戰國最強）	199	當個捏捏真的爽 我要一直當捏捏	black
202	615fb54dcd5e087f62af802c	榴槤棘	70	kirito.fuckyou	桐人（幹你娘）	15		black
